Vulnerability class,Plugin,API name,Authenticated?,Nonce or referrer?,Vulnerable function or Vulnerability,Exploitable (by non-admin),False positive,Bug?,Comment
opre,ninja-forms,connect,yes,yes,yes,no,no,no,Exploit requires nonce :-(
sqli,google-analytics-dashboard-for-wp,zip-get_posts,yes,yes,no,no,yes,yes,Query broken due to no ordering
sqli,google-analytics-for-wordpress,zip-get_posts,yes,yes,no,no,yes,yes,Query broken due to no ordering
sqli,instagram-feed,sbi_recheck_connection,yes,yes,no,no,yes,yes,Deadlock found
sqli,ewww-image-optimizer,ewww_image_optimizer_aux_images_table,yes,yes,no,no,yes,yes,DB table does not exist – Plugin needs more steps to setup or use of specific functionality? https://wordpress.org/support/topic/version-5-3-2-table-ewwwio_images-doesnt-exist-errors/
sqli,ninja-forms,ninja_forms_ajax_migrate_database,yes,yes,no,no,yes,yes,DB table does not exist // Wrong usage of describe IF
sqli,wpvivid-backuprestore,add_exclude_files,yes,yes,no,no,yes,yes,DB table does not exist // Plugin needs more steps or functionality to create table. 
sqli,wpvivid-backuprestore,get_result_list,yes,yes,no,no,yes,yes,DB table does not exist // Plugin needs more steps or functionality to create table. 
sqli,wpvivid-backuprestore,isolate_selected_image,yes,yes,no,no,yes,yes,DB table does not exist // Plugin needs more steps or functionality to create table. 
sqli,wpvivid-backuprestore,start_isolate_all_image,yes,yes,no,no,yes,yes,DB table does not exist // Plugin needs more steps or functionality to create table. 
xss,astra-sites,import_block,yes,yes,no,no,yes,no,Content-Type: application/json
xss,kadence-blocks,process_data_ajax_callback,yes,yes,no,no,yes,no,Content-Type: application/json
xss,mailchimp-for-wp,get_list_details,yes,no,no,no,yes,no,Content-Type: application/json
xss,megamenu,ajax_add_widget,yes,yes,no,no,yes,no,Content-Type: application/json
xss,megamenu,ajax_reorder_items,yes,yes,no,no,yes,no,Content-Type: application/json
xss,megamenu,ajax_save_grid_data,yes,yes,no,no,yes,no,Content-Type: application/json
xss,megamenu,ajax_show_menu_item_form,yes,yes,no,no,yes,no,Encoded in Attribute
xss,megamenu,ajax_show_widget_form,yes,yes,no,no,yes,no,Encoded in Attribute
xss,ninja-forms,ninja_forms_ajax_import_form,yes,yes,yes,no,no,no,Exploit requires nonce :-(
xss,popup-builder,changeConditionRuleRow,no,yes,no,no,yes,no,Encoded in Attribute
xss,shortcodes-ultimate,settings,yes,no,no,no,yes,no,"Sufficient sanitation, just 0xdeadbeef"
xss,siteorigin-panels,action_export_layout,no,yes,no,no,yes,no,Content-Type: application/json
xss,the-events-calendar,ajax_fetch_import,no,no,no,no,yes,no,Content-Type: application/json
xss,ultimate-addons-for-gutenberg,import_block,yes,yes,no,no,yes,no,Content-Type: application/json
xss,updraftplus,wp_ajax_updraftcentral_receivepublickey,no,no,no,no,yes,no,Encoded in URL
xss,wp-migrate-db,ajax_migrate_table,no,yes,no,no,yes,no,Content-Type: application/json
xss,wp-user-avatar,get_forms_by_builder_type,no,no,no,no,yes,no,Encoded in Attribute
xss,wpvivid-backuprestore,check_import_file,yes,yes,yes,no,no,no,Exploit requires referrer :-(
xss,wpvivid-backuprestore,export_post_step2,yes,yes,no,no,yes,no,"Encoding seems to work, weird behavior"
xss,wpvivid-backuprestore,export_post_step3,yes,yes,yes,no,no,no,Exploit requires referrer :-(
xss,wpvivid-backuprestore,get_exclude_files_list,yes,yes,yes,no,no,no,Exploit requires referrer :-(
xss,wpvivid-backuprestore,get_file_id,yes,yes,yes,no,no,no,Exploit requires referrer :-(
xss,wpvivid-backuprestore,get_post_type_list,yes,yes,yes,no,no,no,Exploit requires referrer :-(
xss,wpvivid-backuprestore,is_backup_file_free,yes,yes,yes,no,no,no,Exploit requires referrer :-(
pat,ad-inserter,ai_ajax,-,-,no,no,yes,no,matches fixed path
